price,address,bds,ba,sqft,image
"$225,000","1189 Old Greystone Dr, Lithonia, GA 30058",4,3,"2,780",https://photos.zillowstatic.com/p_e/IS33bpp4v54ffv0000000000.jpg
"$162,999","6380 Edenfield Dr, Lithonia, GA 30058",4,3,"2,110",https://photos.zillowstatic.com/p_e/ISv4v3dcif3cd01000000000.jpg
"$115,000","4354 Idlewood Ln, Tucker, GA 30084",3,3,"1,594",https://photos.zillowstatic.com/p_e/ISb13ok5pisjup1000000000.jpg
"$389,000","3060 Glendale Ct, Decatur, GA 30032",3,3,"1,900",https://photos.zillowstatic.com/p_e/ISv0ov6fdrbq3b1000000000.jpg
"$215,000","1501 Clairmont Rd APT 2015, Decatur, GA 30033",2,2,"1,523","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$153,950","1010 Scott Blvd APT D8, Decatur, GA 30030",2,2,"1,014","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$245,000","3271 Hampton Green Way, Doraville, GA 30340",2,3,"1,692","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$724,900","5388 Trowbridge Pl, Atlanta, GA 30338",5,5,"4,575","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$241,000","1369 Diamond Ave SE, Atlanta, GA 30316",2,2,948,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$175,000","5389 Ridge Forest Dr, Stone Mountain, GA 30083",3,2,"1,388","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$724,900","5388 Trowbridge Dr, Dunwoody, GA 30338",4,4,"4,379","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
$1.33M,"1261 University Dr NE, Atlanta, GA 30306",5,5,"6,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$425,000","4089 Ivey Gate, Atlanta, GA 30341",3,3.5,"2,400","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
$1.21M,"1118 Adams St, Decatur, GA 30030",5,5,"4,039","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$435,000","883 Winfield Ave SE, Atlanta, GA 30316",3,2,"2,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$179,900","839 Churchill Ct, Stone Mountain, GA 30083",4,3,"1,599","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$262,000","1661 La France St NE UNIT 216, Atlanta, GA 30307",1,1.5,929,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$262,000","1661 La France St NE, Atlanta, GA 30307",1,2,929,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$175,000","6328 Lake Valley Point, Lithonia, GA 30058",3,2,"1,506","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$445,000","270 Ivy Glen Cir, Avondale Estates, GA 30002",4,4,"3,248","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$259,850","1661 La France St NE, Atlanta, GA 30307",1,2,929,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$560,000","1399 N Druid Hills Rd NE, Brookhaven, GA 30319",4,4,"2,900","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$585,000","4355 Berkford Cir NE, Brookhaven, GA 30319",4,3,"2,187",N/A
"$338,500","3105 Turman Cir, Decatur, GA 30033",3,4,"1,856","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$467,575","3168 Quinn Pl, Chamblee, GA 30341",4,4,"2,404","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$530,000","115 Leslie St SE, Atlanta, GA 30317",3,3,"2,394","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$109,900","4363 Indian Forest Rd, Stone Mountain, GA 30083",Studio,--,"1,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$310,000","1325 Arnold Ave NE, Atlanta, GA 30324",2,2,"1,357","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$156,000","2825 Northeast Expy #A3, Atlanta, GA 30345",2,3,"1,363","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
