price,address,bds,ba,sqft,image
"$309,000","1741 Carissa Dr, Conyers, GA 30094",5,3,"3,238","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$115,000","1114 W Adrian Cir SW, Conyers, GA 30094",3,2,"1,056","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$332,060","2600 Ginger Mist Way NE, Conyers, GA 30013",5,4,"2,981","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$250,000","3266 Boulder Dr SW, Stockbridge, GA 30281",3,4,"1,440","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$92,500","1418 Eastmont Dr NW, Conyers, GA 30012",3,3,"1,344","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$248,640","1217 Brookstone Cir, Conyers, GA 30012",4,3,"2,356","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$212,000","6476 Bellevue Dr SW, Conyers, GA 30094",7,4,"4,150","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$332,060","2600 Ginger Mist Way NE #71, Conyers, GA 30013",5,4,"2,984","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$459,165","3230 Ashmore Ct SW, Conyers, GA 30094",5,4,"4,100","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$230,000","5132 Brentwood Ln SE, Conyers, GA 30094",4,3,"3,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$161,900","1448 Steam Engine Way NE #42, Conyers, GA 30013",3,3,"1,810","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$248,640","1217 Brookstone Cir NE, Conyers, GA 30012",4,3,"2,356","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$199,800","3535 Harper Rd, Mcdonough, GA 30252",5,3,"2,080",N/A
"$610,000","3130 Buck Branch Rd SW, Conyers, GA 30094",3,--,"2,508","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$608,837","3730 Highway 155 SW, Stockbridge, GA 30281",4,4,"3,390",N/A
"$233,105","2266 Annes Lake Cir #32, Lithonia, GA 30058",3,3,"2,135","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$249,534","2354 Annes Lake Cir #21, Lithonia, GA 30058",3,3,"2,135","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$145,900","2339 Rock Mill Ln NE, Conyers, GA 30013",3,2,"1,488","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$73,500","1029 Mountain View Rd NW, Conyers, GA 30012",3,1,"1,075","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$186,000","1669 Village Place Cir NE, Conyers, GA 30012",4,3,"1,821","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$162,000","788 Cedar Lake Dr SE, Conyers, GA 30094",4,3,"2,400","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$380,900","3353 Bartlett Ave #296, Conyers, GA 30013",5,4,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$265,000","1501 Saint George Pl, Conyers, GA 30012",5,3,"3,295","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$695,000","1616 Palmilla Way SW, Stockbridge, GA 30281",5,6,"4,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$198,000","1775 Holmes Dr SW, Conyers, GA 30094",5,3,"2,066","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$379,990","128 Standford Dr #8, Mcdonough, GA 30252",5,4,"3,797","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$275,541","1321 Brookstone Lake Dr, Conyers, GA 30012",5,4,"2,968","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$8,000","1019 Almand St NW LOT 0, Conyers, GA 30012","7,840",N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$9,000","2245 Hi Roc Cir NE, Conyers, GA 30012",0.42,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$442,000","1873 Kings Row, Conyers, GA 30012",5,5,--,https://photos.zillowstatic.com/p_e/ISnmnn6ooup05q1000000000.jpg
"$425,000","1832 Christopher Dr #9, Conyers, GA 30094",5,4,--,https://photos.zillowstatic.com/p_e/ISfk8cvigr7v0v0000000000.jpg
"$184,000","2840 Stone Bridge Trl SW, Conyers, GA 30094",3,3,"2,961",https://photos.zillowstatic.com/p_e/ISb52uzxj3hu3p0000000000.jpg
"$425,000","1832 Christopher Dr, Conyers, GA 30094",5,4,--,https://photos.zillowstatic.com/p_e/IS729qlarui7ty0000000000.jpg
"$240,000","1004 Alexandria Ln, Conyers, GA 30094",5,3,"2,551",https://photos.zillowstatic.com/p_e/ISrl1hr45aberh0000000000.jpg
"$36,250","2014 Harvest Mill Run, Conyers, GA 30012",4,3,--,https://photos.zillowstatic.com/p_e/ISvoi7v9eueby40000000000.jpg
"$230,000","2561 Oakridge Dr, Conyers, GA 30094",3,2,"2,098",https://photos.zillowstatic.com/p_e/IS37abtibsks3v0000000000.jpg
"$10,500","2241 Carr Rd NE, Conyers, GA 30012",--,--,--,N/A
"$10,500","2231 Carr Rd NE, Conyers, GA 30012",--,--,--,N/A
"$27,000","3489 Carlisle Ct SE, Conyers, GA 30013",1,N/A,N/A,N/A
"$579,654","3324 Steeple Chase Way SW, Conyers, GA 30094",--,--,--,N/A
"$300,000","1408 Hadlow Ct, Conyers, GA 30094",5,5,"4,568","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
