price,beds,baths,square_feet,Cherokee,Clayton,Cobb,DeKalb,Douglas,Fayette,Fulton,Gwinnett,Henry,Rockdale
438000.0,5.0,5.0,4960.0,0,0,1,0,0,0,0,0,0,0
360000.0,4.0,3.0,2798.0,0,0,1,0,0,0,0,0,0,0
437500.0,5.0,5.0,3790.0,0,0,1,0,0,0,0,0,0,0
389155.0,4.0,3.0,2908.0,0,0,1,0,0,0,0,0,0,0
350000.0,5.0,3.0,3212.0,0,0,1,0,0,0,0,0,0,0
333000.0,5.0,4.0,2908.0,0,0,1,0,0,0,0,0,0,0
183000.0,3.0,2.0,2396.0,0,0,1,0,0,0,0,0,0,0
150000.0,3.0,2.0,1638.0,0,0,1,0,0,0,0,0,0,0
219800.0,3.0,3.0,1830.0,0,0,1,0,0,0,0,0,0,0
219900.0,3.0,2.0,1664.0,0,0,1,0,0,0,0,0,0,0
505000.0,6.0,6.0,3000.0,0,0,1,0,0,0,0,0,0,0
303500.0,5.0,3.0,4007.0,0,0,1,0,0,0,0,0,0,0
238000.0,4.0,3.0,2112.0,0,0,1,0,0,0,0,0,0,0
527000.0,3.0,3.0,3200.0,0,0,1,0,0,0,0,0,0,0
154000.0,5.0,2.0,1568.0,0,0,1,0,0,0,0,0,0,0
279900.0,4.0,3.0,2804.0,0,0,1,0,0,0,0,0,0,0
320000.0,3.0,3.0,2180.0,0,0,1,0,0,0,0,0,0,0
290000.0,4.0,3.0,2224.0,0,0,1,0,0,0,0,0,0,0
280000.0,4.0,2.5,2242.0,0,0,1,0,0,0,0,0,0,0
180000.0,3.0,2.0,1381.0,0,0,1,0,0,0,0,0,0,0
500000.0,5.0,5.0,5088.0,0,0,1,0,0,0,0,0,0,0
390970.0,5.0,3.0,3310.0,0,0,1,0,0,0,0,0,0,0
237500.0,3.0,2.0,1796.0,0,0,1,0,0,0,0,0,0,0
450000.0,3.0,3.0,2441.0,0,0,1,0,0,0,0,0,0,0
315000.0,4.0,4.0,2370.0,0,0,1,0,0,0,0,0,0,0
495000.0,4.0,3.0,3130.0,0,0,1,0,0,0,0,0,0,0
170000.0,3.0,1.0,1087.0,0,0,1,0,0,0,0,0,0,0
170000.0,3.0,1.0,1086.0,0,0,1,0,0,0,0,0,0,0
290000.0,3.0,2.0,1125.0,0,0,1,0,0,0,0,0,0,0
384900.0,4.0,3.0,2228.0,0,0,1,0,0,0,0,0,0,0
287500.0,3.0,2.0,2091.0,0,0,1,0,0,0,0,0,0,0
695000.0,5.0,5.0,5514.0,0,0,1,0,0,0,0,0,0,0
137500.0,2.0,1.0,1097.0,0,0,1,0,0,0,0,0,0,0
137000.0,3.0,2.0,1344.0,0,0,1,0,0,0,0,0,0,0
274500.0,3.0,1.0,1126.0,0,0,1,0,0,0,0,0,0,0
336008.0,3.0,3.0,2775.0,0,0,1,0,0,0,0,0,0,0
245000.0,4.0,2.0,2155.0,0,0,1,0,0,0,0,0,0,0
295000.0,4.0,2.0,1976.0,0,0,1,0,0,0,0,0,0,0
319000.0,3.0,2.0,1898.0,0,0,1,0,0,0,0,0,0,0
130000.0,3.0,2.0,1404.0,0,0,1,0,0,0,0,0,0,0
170000.0,2.0,2.0,1017.0,0,0,1,0,0,0,0,0,0,0
187000.0,2.0,2.0,1529.0,0,0,1,0,0,0,0,0,0,0
607500.0,5.0,5.0,4931.0,0,0,1,0,0,0,0,0,0,0
617000.0,5.0,5.0,4459.0,0,0,1,0,0,0,0,0,0,0
555000.0,3.0,2.0,2262.0,0,0,1,0,0,0,0,0,0,0
117000.0,3.0,2.0,1310.0,0,0,1,0,0,0,0,0,0,0
375000.0,4.0,3.0,2656.0,0,0,1,0,0,0,0,0,0,0
137000.0,1.0,2.0,1048.0,0,0,1,0,0,0,0,0,0,0
225000.0,2.0,2.0,1236.0,0,0,1,0,0,0,0,0,0,0
580000.0,4.0,4.0,3796.0,0,0,1,0,0,0,0,0,0,0
382000.0,3.0,3.0,2208.0,0,0,1,0,0,0,0,0,0,0
615000.0,5.0,5.0,4733.0,0,0,1,0,0,0,0,0,0,0
