price,address,bds,ba,sqft,image
"$459,000","200 Morning Mist Ln, Woodstock, GA 30188",4,4,"4,460","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$80,000","201 Ficklen Church Way LOT 0, Canton, GA 30114",2,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$229,000","216 Brookhaven Ct, Acworth, GA 30102",3,3,"1,740","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$273,000","2061 Crestview Way, Woodstock, GA 30188",3,3,"3,124","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$442,000","522 Cedarwood Dr, Canton, GA 30115",5,4,"4,090","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$260,000","360 Chambers St UNIT 408, Woodstock, GA 30188",1,1,891,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$425,000","308 Shade Tree Cir, Woodstock, GA 30188",3,3,"3,208","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$398,904","343 Ellington Dr, Canton, GA 30115",--,--,--,N/A
"$556,000","421 Morgan Falls Chase, Canton, GA 30114",4,5,"5,282","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,450","2228 Mohawk Trl, Acworth, GA 30102",3,2,"1,776","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$245,000","117 Dupree Rd, Woodstock, GA 30188",4,3,"2,540","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$461,000","127 Gold Springs Ct, Canton, GA 30114",4,4,"4,169","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$274,285","172 Bryon Ln, Acworth, GA 30102",3,3,"1,979","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$375,000","301 Pebblestone Ln, Canton, GA 30115",5,4,"3,082","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$230,000","214 Diamond Valley Pass, Canton, GA 30114",4,3,"2,750","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$235,000","135 Driftwood Ln, Woodstock, GA 30188",3,2,"1,990","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$160,000","243 Riverstone Commons Cir, Canton, GA 30114",3,3,"1,700","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$492,000","240 Trecastle Sq, Canton, GA 30114",4,4,"4,171","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$380,000","106 Crowe Rd, Alpharetta, GA 30004",3,2,"1,418",https://photos.zillowstatic.com/p_e/ISbh3r34wriy130000000000.jpg
"$480,000","1730 Little Refuge Rd, Waleska, GA 30183",3,3,"4,096",https://photos.zillowstatic.com/p_e/ISvkbfpb178rbr0000000000.jpg
"$240,000","1386 Olde Mill Trce, Woodstock, GA 30188",3,2,"2,104",https://photos.zillowstatic.com/p_e/ISbhnu7xiicdyy0000000000.jpg
"$230,000","105 Brianna Way, Woodstock, GA 30188",3,4,"1,914",https://photos.zillowstatic.com/p_e/IS3bd0awzj1xnw0000000000.jpg
"$240,000","371 Hidden Creek Ln, Canton, GA 30114",4,3,"2,196",https://photos.zillowstatic.com/p_e/ISv08vf1rahol11000000000.jpg
"$494,000","339 Mcdaniel Pl, Canton, GA 30115",3,3,"2,373",https://photos.zillowstatic.com/p_e/ISnmjsntiaovd81000000000.jpg
"$78,000","160 Moody Meadows Trl, Canton, GA 30114",2,N/A,N/A,https://photos.zillowstatic.com/p_e/IS3fw5efqzr6pv1000000000.jpg
"$275,000","421 Christina Way, Acworth, GA 30102",4,--,"2,650",https://photos.zillowstatic.com/p_e/ISrp0nevfq2cai0000000000.jpg
"$218,000","2008 Queensbury Dr, Acworth, GA 30102",3,2,"1,436",https://photos.zillowstatic.com/p_e/IS3voizftjylb90000000000.jpg
"$435,000","1001 Golf Estates Dr, Woodstock, GA 30189",3,3,"2,984","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$429,900","128 Park W, Canton, GA 30115",4,3,"2,646","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
